Date,Forecasted_Price,Forecasted_Volatility
2020-04-22,77.350149732375,2.0795886056334316
2020-04-23,77.3846804034552,2.0799189911227236
2020-04-24,78.02581634242256,2.080249324961834
2020-04-25,78.25048611158266,2.0805796071753675
2020-04-26,78.05751558415339,2.080909837787907
2020-04-27,78.39284853983254,2.0812400168240184
2020-04-28,77.18540953005335,2.0815701443082455
2020-04-29,76.67304070377048,2.081900220265115
2020-04-30,76.86971297253493,2.0822302447191334
2020-05-01,76.46550849083023,2.0825602176947875
2020-05-02,75.86679615169693,2.0828901392165453
2020-05-03,75.82674971068428,2.083220009308855
2020-05-04,75.13429800698427,2.083549827996146
2020-05-05,75.32044254030822,2.083879595302828
2020-05-06,74.5675654003813,2.0842093112532916
2020-05-07,74.4283728779327,2.0845389758719084
2020-05-08,74.10846064187265,2.0848685891830305
2020-05-09,74.13078692888,2.085198151210991
2020-05-10,73.74452706205707,2.0855276619801035
2020-05-11,74.08002812713538,2.0858571215146626
2020-05-12,73.6568021959109,2.086186529838945
2020-05-13,73.78061708528341,2.086515886977206
2020-05-14,73.39870655152565,2.0868451929536826
2020-05-15,73.64389733716996,2.087174447792594
2020-05-16,73.87409279451049,2.08750365151814
2020-05-17,73.97109494479807,2.0878328041545
2020-05-18,74.13876912197591,2.0881619057258356
2020-05-19,73.4805569193813,2.088490956256289
2020-05-20,73.48815134805406,2.0888199557699836
2020-05-21,73.42511598827369,2.0891489042910236
